"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@example.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","hatatest-02",,,,"User:","yusuke.hata"
"Cmdline:","dstat -t --cpu --mem --disk --io --net --int --sys --tcp --output ./data_201908051443.csv",,,,"Date:","05 Aug 2019 14:43:43 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"dsk/total",,"io/total",,"net/total",,"interrupts",,,"system",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","read","writ","read","writ","recv","send","25","26","30","int","csw","lis","act","syn","tim","clo"
05-08 14:44:22,1,0,98,1,0,294694912,1759375360,117194752,1479598080,0,12288,0,2,1392,1724,14,10,4,56,154,4,4,0,1,1
05-08 14:44:23,0,0.990,99.010,0,0,294641664,1759440896,117194752,1479598080,0,0,0,0,802,606,9,5,0,33,74,4,4,0,1,1
05-08 14:44:24,1,0,99,0,0,294641664,1759440896,117194752,1479598080,0,0,0,0,684,1118,7,5,0,36,79,4,4,0,1,1
05-08 14:44:25,0.990,0.990,98.020,0,0,294567936,1759522816,117194752,1479598080,0,0,0,0,632,1076,8,5,0,29,68,4,4,0,0,1
05-08 14:44:26,0,0.990,99.010,0,0,294567936,1759522816,117194752,1479598080,0,0,0,0,132,508,1,2,0,18,36,4,4,0,0,1
05-08 14:44:27,0,0,100,0,0,294572032,1759522816,117194752,1479598080,0,12288,0,2,316,658,4,3,4,32,57,4,4,0,0,1
05-08 14:44:28,0,0.990,99.010,0,0,294539264,1759555584,117194752,1479598080,0,0,0,0,500,760,5,4,0,25,58,4,4,0,0,1
05-08 14:44:29,0,0,100,0,0,294461440,1759637504,117194752,1479598080,0,0,0,0,1784,1924,16,14,0,44,181,4,4,0,0,1
05-08 14:44:30,0,0,100,0,0,294428672,1759670272,117194752,1479598080,0,0,0,0,1378,1636,12,12,0,37,146,4,4,0,0,1
05-08 14:44:31,0,1,99,0,0,294363136,1759735808,117194752,1479598080,0,0,0,0,802,590,9,5,0,30,77,4,4,0,0,1
05-08 14:44:32,0,0,100,0,0,294363136,1759735808,117194752,1479598080,0,12288,0,2,66,390,1,1,4,26,46,4,4,0,0,1
05-08 14:44:33,0.990,0.990,98.020,0,0,294330368,1759768576,117194752,1479598080,0,0,0,0,566,1262,5,5,0,25,74,4,4,0,0,1
05-08 14:44:34,1,0,99,0,0,294297600,1759801344,117194752,1479598080,0,0,0,0,986,724,11,6,0,35,91,4,4,0,0,1
05-08 14:44:35,1,1,98,0,0,294522880,1759584256,117194752,1479598080,0,0,0,0,10474,1258,8,6,1,35,117,4,3,0,0,1
05-08 14:44:36,1,0,99,0,0,294494208,1759584256,117194752,1479598080,0,4096,0,1,420,896,6,4,0,33,49,4,4,0,0,1
05-08 14:44:37,0,0.990,99.010,0,0,294461440,1759617024,117194752,1479598080,0,45056,0,2,316,626,3,3,4,29,62,4,4,0,0,1
05-08 14:44:38,0,0,100,0,0,294428672,1759657984,117194752,1479598080,0,0,0,0,500,824,5,4,0,26,56,4,4,0,0,1
05-08 14:44:39,6.931,10.891,82.178,0,0,293097472,1760985088,117194752,1479598080,0,0,0,0,30384,69972,441,54,0,555,4012,4,4,0,0,1
05-08 14:44:40,0,0,100,0,0,293097472,1760985088,117194752,1479598080,0,0,0,0,66,508,1,2,0,14,27,4,4,0,0,1
05-08 14:44:41,0,1,99,0,0,292933632,1761148928,117194752,1479598080,0,0,0,0,2546,29642,36,6,0,59,278,4,4,0,0,1
05-08 14:44:42,0,0,100,0,0,292921344,1761165312,117198848,1479598080,0,49152,0,10,264,1278,3,4,5,33,55,4,4,0,0,1
05-08 14:44:43,0,0.990,99.010,0,0,292921344,1761165312,117198848,1479598080,0,0,0,0,264,1176,2,4,0,22,34,4,4,0,0,1
05-08 14:44:44,0,0,100,0,0,292888576,1761198080,117198848,1479598080,0,0,0,0,330,1262,4,4,0,19,37,4,4,0,0,1
05-08 14:44:45,0,0,100,0,0,292855808,1761230848,117198848,1479598080,0,0,0,0,330,1262,4,4,0,18,35,4,4,0,0,1
05-08 14:44:46,0,0,100,0,0,292548608,1761554432,117198848,1479598080,0,0,0,0,330,1262,4,4,0,21,43,4,4,0,0,1
